# Time(ps)	['CHL1', 'POPC', 'POPI', 'POPI13', 'DOPC']
105.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
110.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
115.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
120.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
125.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
130.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
135.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
140.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
145.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
150.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
155.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
160.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
165.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
