# Time(ps)	Average lipid per area
1345.0	1461.79013743
1350.0	715.537861057
1355.0	1234.0694793
1360.0	1625.6828803
1365.0	1631.40788438
1370.0	1200.88435668
1375.0	1666.86912782
1380.0	1769.11746693
1385.0	463.315125975
1390.0	1945.29800968
1395.0	1334.433851
1400.0	1378.16530652
1405.0	1855.96236569
1410.0	1285.06754984
1415.0	1077.59441236
1420.0	1019.48651009
1425.0	401.472870743
1430.0	360.510193977
1435.0	1795.23557786
1440.0	1056.78197255
1445.0	1139.93628875
1450.0	1407.71452375
1455.0	1301.60980459
1460.0	1291.40091796
1465.0	838.653309264
1470.0	1001.08499425
1475.0	1401.09677511
1480.0	1048.20910479
1485.0	1201.2581848
1490.0	1493.55733111
1495.0	920.605769354
1500.0	1334.75000053
1505.0	948.767218372
1510.0	1543.34760699
1515.0	1030.75090599
1520.0	1020.85337475
1525.0	991.120353318
1530.0	929.280425667
1535.0	1042.82907804
1540.0	987.833666167
1545.0	1289.2875351
1550.0	1115.8299238
1555.0	1035.72050485
1560.0	1036.72359096
1565.0	1214.93583133
1570.0	1116.1547451
1575.0	1055.64618033
1580.0	1191.48299352
1585.0	931.899229978
1590.0	1042.87843344
1595.0	429.93082787
1600.0	723.818989514
1605.0	948.27014274
1610.0	998.651682613
1615.0	1014.28067517
1620.0	1001.91722925
1625.0	1052.81697237
1630.0	1199.42402389
1635.0	1151.84968894
1640.0	1331.43383407
1645.0	916.314561339
1650.0	938.831792191
1655.0	940.296283528
1660.0	809.55467368
1665.0	790.094865704
1670.0	760.164542313
1675.0	965.240310138
1680.0	932.528860683
1685.0	897.522744865
1690.0	876.89128323
1695.0	966.005433592
1700.0	929.457695581
1705.0	962.174820473
1710.0	884.931191542
1715.0	895.826147049
1720.0	943.265459488
1725.0	928.621583455
1730.0	1048.4975596
1735.0	1032.84249684
1740.0	1685.60931462
1745.0	1028.05150169
1750.0	985.7658446
1755.0	963.560465355
1760.0	1047.74194228
1765.0	1030.13419073
1770.0	1671.68649
1775.0	1704.01306201
1780.0	1604.59508981
1785.0	1545.56736121
1790.0	1037.13807892
1795.0	969.429609842
1800.0	945.558426377
1805.0	1480.01379471
1810.0	1518.68649737
1815.0	1030.64089904
1820.0	1553.63335885
1825.0	1516.56853511
1830.0	1522.66811038
1835.0	1462.91782217
1840.0	1488.41896567
1845.0	1448.8175261
1850.0	971.371738955
1855.0	937.42107089
1860.0	1497.44165487
1865.0	1645.59835562
1870.0	1425.29312515
1875.0	670.81073079
1880.0	1152.71256368
1885.0	1072.84360796
1890.0	1541.52112034
1895.0	1578.80860458
1900.0	1626.96095437
1905.0	1560.56055522
1910.0	1561.90321833
1915.0	1044.91087731
1920.0	1483.06982567
1925.0	1542.77675292
1930.0	1584.32344668
1935.0	1517.73285226
1940.0	1066.42174812
1945.0	1455.8106687
1950.0	1121.40884555
1955.0	1472.03035835
1960.0	1760.81768962
1965.0	1840.45349288
1970.0	1574.3564207
1975.0	1653.2490036
1980.0	1574.73819226
1985.0	1117.93269417
1990.0	1601.8593968
1995.0	1967.1505195
2000.0	1120.6269163
2005.0	1920.06097851
2010.0	1363.85069697
2015.0	1653.69956011
2020.0	1525.338343
2025.0	1808.37935235
2030.0	2002.14209563
2035.0	1724.941657
2040.0	1656.03876597
2045.0	1681.9752282
2050.0	1598.67650302
2055.0	922.123148841
2060.0	954.468404759
2065.0	1217.90149736
2070.0	1728.48987916
2075.0	1548.4107675
2080.0	1109.32500678
2085.0	1065.93597038
2090.0	1075.10777979
2095.0	992.166710423
2100.0	973.878197183
2105.0	1032.64403646
2110.0	1436.29446141
2115.0	963.487855671
2120.0	1198.80711102
2125.0	980.681191984
2130.0	1079.88159683
2135.0	1215.08346279
2140.0	1003.54721551
2145.0	1031.66955937
2150.0	1260.60779075
2155.0	1238.89024971
2160.0	1317.40564748
2165.0	1311.95816734
2170.0	1335.34761347
2175.0	1082.78044321
2180.0	1112.72640305
2185.0	1595.47027617
2190.0	1557.9122929
2195.0	1679.58308666
