# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
115.0	37.5068947607	57.1208513271	56.3123033784	71.7148242203	61.6230477267
120.0	38.0143060544	58.0466986967	55.1332724566	70.6432634041	60.85055745
125.0	37.7989472947	57.1045828092	54.4656656749	73.3124413928	62.5572953672
130.0	38.1901133034	56.5072322295	56.0021582675	66.0571577441	61.7151468963
135.0	37.9182116487	56.8228004779	56.4255347519	65.0289740268	61.6650370373
140.0	38.3519780719	56.7127520482	54.8282259667	62.7073473532	62.5773289448
145.0	38.1362098087	58.3217128478	55.3801853626	59.090874821	61.2648635124
150.0	38.1941874646	58.4589749136	55.2560690065	65.154964028	60.5170079348
155.0	38.3345080019	57.94486288	54.3014886919	59.8610002884	62.1389232066
160.0	39.0644272233	57.9824593921	54.3641324908	62.8986921814	60.281348065
165.0	38.4049440599	57.385263094	54.7214778733	66.7322883456	61.4924831686
170.0	37.9305459943	58.3635116863	55.3823799292	66.6947193611	60.8720039016
175.0	37.2386399188	60.1386760031	53.8062479074	68.601997065	61.7085856661
180.0	37.0412536664	60.0938233997	53.845848203	71.1327017116	61.8593435697
185.0	36.9701209118	59.9106122451	54.7231193629	67.2518855298	61.7834439584
190.0	35.9520078573	59.6783658516	55.7688778203	65.6478060513	63.2710478642
195.0	36.5983813357	58.5575388383	56.784344279	71.586158179	61.5914224537
0.0	36.2588106363	59.3367787417	56.1655779229	66.9972165986	62.5071512724
5.0	36.5188644955	59.3328685313	54.7986690136	65.2496422707	63.3959035248
10.0	34.6362649125	60.0394515893	55.8853179143	66.1901831506	65.3824100288
15.0	34.9687644162	60.2260081581	56.7445038013	65.6339664353	63.813241825
20.0	35.7859785722	59.1999538056	56.2021502874	65.1536159853	63.7411321387
25.0	35.9089584662	60.4179471936	56.0882560962	67.0684947598	62.1881335885
30.0	35.8076444407	59.748991877	56.910113843	68.1339121268	62.2134890347
35.0	36.2332024438	58.914151028	57.8281792553	65.3195630632	61.652458847
40.0	36.0326432792	58.602661063	57.1407589624	64.0907257404	63.1064753045
45.0	35.9193139204	59.1814156955	55.9306682889	66.519099418	63.6006841733
50.0	34.7234272157	60.7270421627	56.8285606468	62.6522897571	64.0255220245
55.0	35.2141312968	59.9071996933	56.3691328194	65.7430151737	63.9682276457
60.0	35.3184600887	61.2846102701	56.9507951795	69.7510016596	61.4579092034
65.0	35.2690402511	60.4303377131	57.6685620995	70.5571602859	61.6843753552
70.0	35.2618471478	59.8775544424	56.9609759859	69.8210487048	62.9620721994
75.0	34.2524400393	60.2907856265	57.6541025738	68.6956622126	64.0563364164
80.0	34.6336542045	60.7885081052	57.4674893583	70.5874719045	62.7749064883
85.0	34.0021715779	60.2427128367	57.4621842159	74.9447639977	64.1527427349
90.0	35.0623805096	60.9040008855	58.1415150153	74.0676036548	60.8474401327
95.0	34.9136452871	59.691067241	59.1720315494	69.0570160418	61.9313528065
100.0	34.7942719221	61.0116634262	58.2408277647	67.8519370492	61.8081993018
105.0	34.2350167183	60.6805672412	59.727758656	61.3698981273	62.5676541615
110.0	34.1363668326	61.8715429728	58.9756665546	62.4916929884	62.1387528771
115.0	34.4925762334	61.3862860967	60.5034860538	66.4419380576	60.1415215915
120.0	34.0689550117	61.8776869254	60.15052071	65.4706220991	60.9120856054
125.0	34.3541955806	61.5729333501	58.5755208343	65.3753488284	62.073453102
130.0	34.6749570969	61.6338242187	57.7805385844	65.0965478761	62.1142714043
135.0	34.3697143605	61.7408482625	59.1756416865	65.7932308972	61.2925871547
140.0	34.556440895	61.0645989976	59.0138209055	67.1172809797	61.6086220898
145.0	34.1299965979	60.07338303	59.7102820583	72.0584541471	62.331773327
150.0	34.7802762233	60.6351599218	58.3025919285	72.9820310788	61.6439996865
155.0	34.2069870789	62.3198428898	58.3368059455	70.8462263072	61.2886796559
160.0	34.7160163499	61.4292601161	58.8516997097	72.8064854107	60.5016628025
165.0	33.3606269967	62.2044603778	58.4254277376	74.9008287162	62.611659997
170.0	34.0021720922	63.4998046296	57.8855200081	75.4564293206	60.4634854597
175.0	33.9742406968	62.7925169058	59.4040957478	68.0457939712	60.6010188036
180.0	34.2646646501	61.494695147	58.4391920977	71.948201692	61.7961213105
185.0	34.308210683	62.4561834453	58.3254442403	68.7678763212	61.1679870595
190.0	34.2711059012	61.4439043623	58.0635136517	66.4897713495	62.7179092734
195.0	34.6312538657	62.3124706099	56.9110138374	67.3387378488	62.0814385331
0.0	34.5672426105	61.2055663544	58.2317962436	63.1347770394	62.5481199809
5.0	34.6914592413	63.3826156795	57.0819121836	64.1181217183	61.0591668472
10.0	34.0013849468	62.7202417279	58.7834699839	62.6696055697	61.7151112491
15.0	35.2516571549	61.2581379979	58.0870033922	64.9803263575	61.0724071156
20.0	34.6573003926	61.8929689952	59.3462692576	59.1397517304	61.0770291749
25.0	34.3562871868	61.3825390076	59.7093762605	61.8066944706	61.5960101507
30.0	34.326600108	62.9303038204	58.4585626286	60.6886202938	61.3451511437
35.0	34.7646554823	61.3421034461	58.8587609977	57.5280000699	62.0130822362
40.0	35.2771292799	61.7541327632	57.5453606432	62.206761847	61.290315156
45.0	35.1576146143	61.081572567	56.8387985558	57.9425006587	63.2642376737
50.0	35.1127713273	60.3270362306	57.9747430448	56.4524250763	63.2351474078
55.0	34.3309230158	62.0974517922	56.436129993	59.583601846	64.1000480984
60.0	35.8538983166	60.0694691896	57.126079591	58.6357492911	62.5559367015
65.0	35.4959899036	59.8947639746	58.4520691341	61.1090106629	62.0057037536
70.0	34.968477698	59.6764306608	58.8342744902	63.134134016	62.7326178311
75.0	35.40688318	61.1910850887	58.2079415861	60.5142119517	61.1668703696
80.0	34.887509373	59.7910509843	58.8296046186	61.0080751139	62.9967458519
85.0	34.9064151574	58.7521224963	57.9766930779	65.9095649224	64.2752915974
90.0	35.1991711824	59.7284279638	57.1386921803	63.8750217806	63.6712042401
95.0	35.1988349787	62.1708356826	56.2886325237	65.2317385381	61.8587358349
100.0	35.261996255	60.5372203689	57.9209010119	62.310281881	62.1892818072
105.0	34.8394084617	61.3116790661	57.8054708439	62.5844883928	62.3363505579
110.0	36.1652396346	59.0787345003	57.2923889722	63.7682877132	62.2609968521
115.0	35.3382006264	60.4886612809	57.0684028205	65.1816060866	62.5655593199
120.0	34.8000524472	60.6947167628	56.9431226276	64.3332576379	63.6332689922
125.0	34.4167532746	61.1440378851	57.7680151589	61.6551111693	63.4759836156
130.0	35.5636034848	60.9895199161	57.249180721	66.9421309189	61.2750340531
135.0	36.3943754314	59.7379315361	57.3176827012	62.9353114441	61.2041219712
140.0	34.6341291828	62.0512279807	56.3604790006	62.8347836804	63.2828899493
145.0	34.9197300863	61.2144958937	57.0668398748	61.7597660034	63.0201469193
150.0	35.173630302	60.6975648666	58.3443937772	56.6669596392	62.3887811069
155.0	34.6449772533	60.9414622313	57.8042311583	59.1092051099	63.444146859
160.0	35.2326311005	60.8790554634	57.9182010769	55.625757101	62.5769716442
165.0	35.4896985987	60.7037435646	57.1027348232	58.5076163907	62.6839284701
170.0	34.3290517745	60.7733621583	57.9436001584	62.1089004961	63.8186995148
175.0	34.2711025244	61.2973090701	57.6685829692	62.2402915229	63.6450419519
180.0	35.980815395	58.6676232644	58.3254056158	63.329605667	62.1550849334
185.0	35.6267442478	60.2205542545	57.4790865195	65.205605141	61.8845627938
190.0	35.5740028452	59.9848237888	58.4428617141	65.8513411212	61.2937181377
195.0	35.0652814176	61.2512134849	57.8640722486	64.2902212553	61.7218387934
0.0	34.9470875243	59.511203175	57.3866191814	63.1978509997	64.2371471734
5.0	34.9492113221	60.538119485	57.3911599073	67.2722450266	62.7944010075
10.0	35.4796901015	61.7017844206	56.8847730849	65.4971182447	61.2030139288
15.0	34.3246448224	60.8824316067	58.1821377458	71.0929884991	62.6053314811
20.0	34.7418967781	60.6613673183	57.0434182184	71.9697866009	62.9290149954
25.0	34.7571245019	62.4616113385	56.5608978748	68.26021744	61.9036111764
30.0	34.1078391373	62.7271188745	55.9918814012	68.4302080868	63.4316733556
35.0	34.5290373509	62.8475722913	56.3095804164	70.9410278536	61.9318278389
40.0	34.7088700835	62.6152528013	55.8686945484	75.237051503	61.7717693973
45.0	35.6566954042	60.213949034	57.1216255684	73.0515900038	61.3683763938
50.0	34.6770111145	62.5802386234	56.797767027	73.8762903221	61.1702811055
55.0	34.5342726661	62.2002298523	56.2642793693	72.7920493406	62.4245327892
