# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
595.0	66.6044	66.6044	64.0363	90.0	90.0	90.0	284074.882818
600.0	66.5977	66.5977	63.6068	90.0	90.0	90.0	282112.559833
605.0	66.4419	66.4419	64.1118	90.0	90.0	90.0	283023.366323
610.0	66.4702	66.4702	64.501	90.0	90.0	90.0	284983.921571
615.0	66.4826	66.4826	64.3713	90.0	90.0	90.0	284516.781563
620.0	66.3681	66.3681	64.9366	90.0	90.0	90.0	286027.670527
625.0	66.1926	66.1926	64.6993	90.0	90.0	90.0	283477.035066
630.0	66.3057	66.3057	64.6634	90.0	90.0	90.0	284289.079749
635.0	66.3897	66.3897	64.7813	90.0	90.0	90.0	285529.592621
640.0	66.1141	66.1141	64.923	90.0	90.0	90.0	283783.015565
645.0	66.3591	66.3591	64.5771	90.0	90.0	90.0	284366.627773
650.0	66.6103	66.6103	64.1685	90.0	90.0	90.0	284711.501495
655.0	66.6246	66.6246	63.8007	90.0	90.0	90.0	283200.631366
660.0	67.0712	67.0712	63.0422	90.0	90.0	90.0	283598.186132
665.0	67.4039	67.4039	62.7022	90.0	90.0	90.0	284874.213907
670.0	66.7995	66.7995	63.4932	90.0	90.0	90.0	283317.364872
675.0	66.6651	66.6651	64.299	90.0	90.0	90.0	285759.357011
680.0	66.8091	66.8091	63.7921	90.0	90.0	90.0	284732.970907
685.0	66.6858	66.6858	63.8919	90.0	90.0	90.0	284126.627261
690.0	66.9167	66.9167	63.3986	90.0	90.0	90.0	283889.13067
695.0	66.5179	66.5179	63.9981	90.0	90.0	90.0	283167.894856
700.0	66.6744	66.6744	64.1739	90.0	90.0	90.0	285283.496141
705.0	66.6952	66.6952	63.7777	90.0	90.0	90.0	283699.521349
710.0	66.5453	66.5453	64.1683	90.0	90.0	90.0	284154.620221
715.0	66.7695	66.7695	64.0076	90.0	90.0	90.0	285356.215162
720.0	66.7283	66.7283	64.2354	90.0	90.0	90.0	286018.594557
725.0	66.8619	66.8619	63.8706	90.0	90.0	90.0	285534.112069
730.0	66.722	66.722	63.8844	90.0	90.0	90.0	284401.840532
735.0	66.8283	66.8283	63.4818	90.0	90.0	90.0	283511.065463
740.0	66.7755	66.7755	63.7905	90.0	90.0	90.0	284439.747047
745.0	66.6145	66.6145	64.2038	90.0	90.0	90.0	284903.669944
750.0	66.2484	66.2484	64.5914	90.0	90.0	90.0	283482.34035
755.0	66.196	66.196	64.6876	90.0	90.0	90.0	283455.585543
760.0	66.3453	66.3453	64.337	90.0	90.0	90.0	283192.536323
765.0	66.6843	66.6843	64.2163	90.0	90.0	90.0	285556.676618
770.0	66.7683	66.7683	63.9056	90.0	90.0	90.0	284891.456343
775.0	66.6522	66.6522	64.2338	90.0	90.0	90.0	285359.70264
780.0	66.3089	66.3089	64.7418	90.0	90.0	90.0	284660.983708
785.0	66.6269	66.6269	63.666	90.0	90.0	90.0	282623.052471
790.0	66.462	66.462	64.2784	90.0	90.0	90.0	283930.709404
795.0	66.5359	66.5359	64.0555	90.0	90.0	90.0	283575.676404
800.0	66.7928	66.7928	63.524	90.0	90.0	90.0	283398.26932
805.0	66.7745	66.7745	63.8207	90.0	90.0	90.0	284565.627363
810.0	66.7594	66.7594	63.5577	90.0	90.0	90.0	283264.959633
815.0	66.7916	66.7916	63.6348	90.0	90.0	90.0	283881.824703
820.0	66.6396	66.6396	63.9133	90.0	90.0	90.0	283829.132817
825.0	66.5157	66.5157	64.0319	90.0	90.0	90.0	283298.79999
830.0	66.4662	66.4662	64.282	90.0	90.0	90.0	283982.015525
835.0	66.6031	66.6031	64.0695	90.0	90.0	90.0	284210.422683
840.0	66.6921	66.6921	63.5618	90.0	90.0	90.0	282712.634411
845.0	66.5735	66.5735	64.2014	90.0	90.0	90.0	284542.482481
850.0	66.4527	66.4527	64.319	90.0	90.0	90.0	284030.001311
855.0	66.3245	66.3245	64.5326	90.0	90.0	90.0	283875.332927
860.0	66.505	66.505	64.5731	90.0	90.0	90.0	285601.201043
865.0	66.5796	66.5796	64.3538	90.0	90.0	90.0	285270.601125
870.0	66.6451	66.6451	64.1257	90.0	90.0	90.0	284818.682813
875.0	66.5265	66.5265	64.2569	90.0	90.0	90.0	284386.622114
880.0	66.3857	66.3857	64.2004	90.0	90.0	90.0	282935.129782
885.0	66.4463	66.4463	64.2061	90.0	90.0	90.0	283477.085679
890.0	66.3411	66.3411	64.6573	90.0	90.0	90.0	284565.893802
895.0	66.5535	66.5535	64.0155	90.0	90.0	90.0	283548.610543
900.0	66.326	66.326	64.5297	90.0	90.0	90.0	283875.183876
905.0	66.358	66.358	64.1927	90.0	90.0	90.0	282665.335898
910.0	66.296	66.296	64.4951	90.0	90.0	90.0	283466.446444
915.0	66.6705	66.6705	63.9834	90.0	90.0	90.0	284402.882852
920.0	66.7618	66.7618	63.7859	90.0	90.0	90.0	284302.148222
925.0	66.7728	66.7728	63.6904	90.0	90.0	90.0	283970.427027
930.0	66.9028	66.9028	63.4523	90.0	90.0	90.0	284011.998586
935.0	66.4964	66.4964	64.184	90.0	90.0	90.0	283806.743584
940.0	66.5642	66.5642	63.9703	90.0	90.0	90.0	283439.154716
945.0	66.5286	66.5286	63.7223	90.0	90.0	90.0	282038.802614
950.0	66.7116	66.7116	63.676	90.0	90.0	90.0	283385.802387
955.0	67.0942	67.0942	63.1375	90.0	90.0	90.0	284221.916765
960.0	66.6414	66.6414	63.9991	90.0	90.0	90.0	284224.49812
965.0	66.521	66.521	64.0998	90.0	90.0	90.0	283644.793331
970.0	66.4708	66.4708	64.0291	90.0	90.0	90.0	282904.325204
975.0	66.5774	66.5774	64.0533	90.0	90.0	90.0	283919.5867
980.0	66.8162	66.8162	63.7302	90.0	90.0	90.0	284517.338666
985.0	66.7979	66.7979	63.7665	90.0	90.0	90.0	284523.418075
990.0	66.6795	66.6795	64.1999	90.0	90.0	90.0	285442.647154
995.0	66.6236	66.6236	63.931	90.0	90.0	90.0	283770.58151
1000.0	66.4976	66.4976	63.9919	90.0	90.0	90.0	282967.537579
1005.0	66.5103	66.5103	63.8161	90.0	90.0	90.0	282298.516693
1010.0	66.7391	66.7391	64.1103	90.0	90.0	90.0	285553.672228
1015.0	66.5691	66.5691	63.9854	90.0	90.0	90.0	283547.746856
1020.0	66.5191	66.5191	64.0991	90.0	90.0	90.0	283625.002754
1025.0	66.357	66.357	64.3616	90.0	90.0	90.0	283400.182136
1030.0	66.8252	66.8252	63.5642	90.0	90.0	90.0	283852.367123
1035.0	66.6259	66.6259	63.7216	90.0	90.0	90.0	282860.691696
1040.0	66.4407	66.4407	64.3976	90.0	90.0	90.0	284274.253438
1045.0	66.3218	66.3218	64.5193	90.0	90.0	90.0	283793.260769
