# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
955.0	58.3663	58.3663	93.3447	90.0	90.0	90.0	317990.103904
960.0	58.3675	58.3675	93.4024	90.0	90.0	90.0	318200.05733
965.0	58.0107	58.0107	94.6355	90.0	90.0	90.0	318471.199811
970.0	58.0373	58.0373	94.6148	90.0	90.0	90.0	318694.328899
975.0	58.0349	58.0349	94.5259	90.0	90.0	90.0	318368.266636
980.0	58.3196	58.3196	93.7135	90.0	90.0	90.0	318736.556219
985.0	58.2599	58.2599	93.979	90.0	90.0	90.0	318985.036128
990.0	58.0981	58.0981	94.1682	90.0	90.0	90.0	317854.729497
995.0	58.1205	58.1205	94.0698	90.0	90.0	90.0	317767.426346
1000.0	58.2056	58.2056	94.4111	90.0	90.0	90.0	319854.849623
1005.0	58.3177	58.3177	93.4978	90.0	90.0	90.0	317981.763778
1010.0	58.3096	58.3096	93.9882	90.0	90.0	90.0	319561.206659
1015.0	57.8826	57.8826	95.0219	90.0	90.0	90.0	318361.060009
1020.0	57.9597	57.9597	94.41	90.0	90.0	90.0	317153.522364
1025.0	58.0388	58.0388	94.4048	90.0	90.0	90.0	318003.069544
1030.0	58.194	58.194	94.0201	90.0	90.0	90.0	318403.311728
1035.0	58.3034	58.3034	93.7931	90.0	90.0	90.0	318830.015742
1040.0	58.1425	58.1425	94.5192	90.0	90.0	90.0	319526.593016
1045.0	57.9829	57.9829	94.3932	90.0	90.0	90.0	317351.261968
1050.0	57.9041	57.9041	95.1161	90.0	90.0	90.0	318913.138533
1055.0	58.3571	58.3571	93.7569	90.0	90.0	90.0	319293.535383
1060.0	58.3165	58.3165	93.2867	90.0	90.0	90.0	317250.304375
1065.0	58.5183	58.5183	93.2016	90.0	90.0	90.0	319158.743118
1070.0	58.3265	58.3265	93.5235	90.0	90.0	90.0	318165.647201
1075.0	58.501	58.501	93.0168	90.0	90.0	90.0	318338.186448
1080.0	58.8419	58.8419	92.6448	90.0	90.0	90.0	320770.823089
1085.0	58.7332	58.7332	92.5411	90.0	90.0	90.0	319228.565863
1090.0	58.9008	58.9008	91.9897	90.0	90.0	90.0	319140.61969
1095.0	58.9017	58.9017	91.8765	90.0	90.0	90.0	318757.62906
1100.0	58.6368	58.6368	92.7299	90.0	90.0	90.0	318830.80477
1105.0	58.5631	58.5631	92.702	90.0	90.0	90.0	317934.216807
1110.0	58.4856	58.4856	93.015	90.0	90.0	90.0	318163.702608
1115.0	58.6588	58.6588	92.521	90.0	90.0	90.0	318351.412957
1120.0	58.7639	58.7639	92.3124	90.0	90.0	90.0	318772.488866
1125.0	58.7338	58.7338	92.5856	90.0	90.0	90.0	319389.137127
1130.0	58.4925	58.4925	93.3728	90.0	90.0	90.0	319463.549231
1135.0	58.6405	58.6405	92.7454	90.0	90.0	90.0	318924.19382
1140.0	58.6963	58.6963	92.6567	90.0	90.0	90.0	319226.06514
1145.0	58.9404	58.9404	91.7388	90.0	90.0	90.0	318697.339431
1150.0	58.8162	58.8162	92.0987	90.0	90.0	90.0	318601.543101
1155.0	58.9911	58.9911	91.4958	90.0	90.0	90.0	318400.456165
1160.0	58.8834	58.8834	92.675	90.0	90.0	90.0	321328.344057
1165.0	58.8114	58.8114	92.3817	90.0	90.0	90.0	319528.219567
1170.0	58.6061	58.6061	93.0226	90.0	90.0	90.0	319502.170003
1175.0	58.8518	58.8518	92.195	90.0	90.0	90.0	319320.768718
1180.0	59.0217	59.0217	91.9482	90.0	90.0	90.0	320307.32187
1185.0	59.0629	59.0629	91.645	90.0	90.0	90.0	319696.962528
1190.0	59.1676	59.1676	91.9098	90.0	90.0	90.0	321758.355831
1195.0	58.9815	58.9815	91.5959	90.0	90.0	90.0	318645.231861
1200.0	59.0609	59.0609	91.8457	90.0	90.0	90.0	320375.175077
1205.0	59.0737	59.0737	91.4302	90.0	90.0	90.0	319064.476644
1210.0	58.8939	58.8939	92.2577	90.0	90.0	90.0	319995.147358
1215.0	59.174	59.174	91.3483	90.0	90.0	90.0	319861.292881
